指標,中位數,前30%門檻,前10%門檻,前5%門檻,前1%門檻,活躍會員總數,無標籤會員佔比
總消費金額,,,,,,,
總學習時數,,,,,,,
完成單元數,,,,,,,
互動次數,,,,,,,
